city_key,city,country,short_description,latitude,longitude,avg_temp_monthly,ideal_durations,budget_level,culture,adventure,nature,beaches,nightlife,cuisine,wellness,urban,seclusion,Category,Approximate Annual Tourists,Famous Foods,Best Time to Visit,Cost of Living,Safety,Cultural Significance,Description,Cost_index,"Meal, Inexpensive Restaurant",One-way Ticket (Local Transport),Monthly Pass (Regular Price),Taxi Start (Normal Tariff),Apartment (1 bedroom) in City Centre,Average Monthly Net Salary (After Tax)
helsinki,Helsinki,Finland,"A blend of modern design and serene nature, where crisp air and cozy cafes invite you to unwind and explore.",601.674.881,249.427.473,"{""1"":{""avg"":-2.4,""max"":-0.5,""min"":-5.3},""2"":{""avg"":-1.7,""max"":0.2,""min"":-4.5},""3"":{""avg"":0.5,""max"":3.7,""min"":-2.6},""4"":{""avg"":4.9,""max"":8.8,""min"":1.4},""5"":{""avg"":11.3,""max"":15.7,""min"":7},""6"":{""avg"":16.4,""max"":20,""min"":12.5},""7"":{""avg"":18.1,""max"":21.8,""min"":14.9},""8"":{""avg"":17.5,""max"":21,""min"":14.4},""9"":{""avg"":13.1,""max"":16.2,""min"":10.2},""10"":{""avg"":7.4,""max"":10,""min"":5.2},""11"":{""avg"":3.3,""max"":5.3,""min"":0.9},""12"":{""avg"":0.1,""max"":1.7,""min"":-2.9}}","[""Short trip"",""One week"",""Weekend""]",Mid-range,4,3,4,2,3,4,4,4,3,,,,,,,,,71.82,13.0,2.8,59.7,6.0,1003.25,2481.31
warsaw,Warsaw,Poland,"Historic streets blend with modern vibes, where cozy cafes and vibrant squares invite leisurely strolls and a taste of local culture.",522.337.172,21.071.432.235.636.400,"{""1"":{""avg"":0.2,""max"":2.6,""min"":-2.3},""2"":{""avg"":1.5,""max"":4.8,""min"":-1.6},""3"":{""avg"":4.4,""max"":9.3,""min"":1.1},""4"":{""avg"":9.5,""max"":14.8,""min"":4},""5"":{""avg"":14.8,""max"":20.1,""min"":9.2},""6"":{""avg"":19.7,""max"":25.2,""min"":14},""7"":{""avg"":20.4,""max"":25.7,""min"":15.3},""8"":{""avg"":20.7,""max"":26.1,""min"":15.4},""9"":{""avg"":15.6,""max"":20.8,""min"":10.8},""10"":{""avg"":10,""max"":14.1,""min"":6.2},""11"":{""avg"":4.8,""max"":7.4,""min"":2.3},""12"":{""avg"":2,""max"":4.2,""min"":-0.5}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,4,2,3,1,4,4,3,4,2,,,,,,,,,,,,,,,
verona,Verona,Italy,"Charming streets with a romantic vibe, historic architecture, and cozy piazzas invite leisurely strolls and delightful discoveries at every turn.",45.442.497.700.000.000,10.985.737.689.444.700,"{""1"":{""avg"":3.2,""max"":7.8,""min"":-1.1},""2"":{""avg"":6.2,""max"":12.1,""min"":1.3},""3"":{""avg"":9.4,""max"":15.6,""min"":2.5},""4"":{""avg"":13.6,""max"":19,""min"":7.4},""5"":{""avg"":18,""max"":22.8,""min"":12.4},""6"":{""avg"":23.5,""max"":29.5,""min"":17.5},""7"":{""avg"":25.8,""max"":31.4,""min"":19.6},""8"":{""avg"":25,""max"":31.1,""min"":19.3},""9"":{""avg"":20.1,""max"":26.2,""min"":15.2},""10"":{""avg"":14.8,""max"":20.3,""min"":10.7},""11"":{""avg"":8.6,""max"":13.3,""min"":4.9},""12"":{""avg"":4,""max"":9,""min"":0.9}}","[""Short trip"",""Weekend""]",Mid-range,5,2,3,1,3,4,3,4,3,City,1 million,"Pizza, Pasta, Risotto",Spring (April-May) or Fall (Sept-Oct),Medium,Generally safe,"A romantic city known for its Shakespearean connection, Arena di Verona, and beautiful architecture.","Famous for being the setting of ""Romeo and Juliet"" and its well-preserved Roman amphitheater.",,,,,,,
annecy,Annecy,France,"Charming canals and cobblestone streets weave through a picturesque town, surrounded by stunning alpine views and the serene waters of a crystal-clear lake.",458.992.348,61.288.847,"{""1"":{""avg"":3,""max"":6.7,""min"":-0.1},""2"":{""avg"":4.7,""max"":9.7,""min"":0.7},""3"":{""avg"":8,""max"":13.5,""min"":2.5},""4"":{""avg"":10.4,""max"":16.4,""min"":4.6},""5"":{""avg"":14.9,""max"":20.5,""min"":9.3},""6"":{""avg"":19.6,""max"":25.7,""min"":13.1},""7"":{""avg"":22,""max"":28.7,""min"":14.8},""8"":{""avg"":21.4,""max"":28.2,""min"":14.6},""9"":{""avg"":16.8,""max"":23.1,""min"":10.9},""10"":{""avg"":12.3,""max"":17.8,""min"":7.8},""11"":{""avg"":6.8,""max"":10.9,""min"":3.2},""12"":{""avg"":3.2,""max"":6.8,""min"":0.3}}","[""Short trip"",""Weekend""]",Mid-range,4,4,5,3,3,4,3,3,4,,,,,,,,,,,,,,,
munich,Munich,Germany,"Historic streets filled with the aroma of pretzels and beer, vibrant festivals, and a charming blend of tradition and modernity await.",481.371.079,115.753.822,"{""1"":{""avg"":1.8,""max"":5,""min"":-1.2},""2"":{""avg"":3.6,""max"":7.5,""min"":0.2},""3"":{""avg"":6.4,""max"":11.3,""min"":2.1},""4"":{""avg"":10.1,""max"":15.6,""min"":4.9},""5"":{""avg"":14,""max"":19.3,""min"":9},""6"":{""avg"":19,""max"":24.6,""min"":13.7},""7"":{""avg"":20.6,""max"":26.3,""min"":15.2},""8"":{""avg"":20.2,""max"":26,""min"":15},""9"":{""avg"":15.5,""max"":20.9,""min"":10.8},""10"":{""avg"":11.1,""max"":16,""min"":7.1},""11"":{""avg"":5.6,""max"":9.1,""min"":2.6},""12"":{""avg"":3.1,""max"":6.2,""min"":0.3}}","[""Day trip"",""Weekend"",""Short trip""]",Mid-range,5,3,3,1,4,4,3,5,2,City,10 million,"Weiáwurst, Brezn, Leberkse",Spring (April-May) or Fall (Sept-Oct),Medium-high,Generally safe,"A Bavarian city famous for its Oktoberfest, beer gardens, and historical architecture.","Known for its beer culture, historic Marienplatz, and beautiful English Garden.",71.85,13.0,3.3,60.0,3.7,1255.56,2727.8
freiburg,Freiburg,Germany,"Charming cobblestone streets, lush greenery, and a welcoming vibe create a perfect blend of nature and history, inviting you to explore leisurely.",479.960.901,78.494.005,"{""1"":{""avg"":2.1,""max"":5.8,""min"":-1.1},""2"":{""avg"":4.2,""max"":8.5,""min"":0.6},""3"":{""avg"":6.6,""max"":11.8,""min"":2.1},""4"":{""avg"":9.5,""max"":15.2,""min"":4.1},""5"":{""avg"":13.5,""max"":19.1,""min"":8.1},""6"":{""avg"":18.2,""max"":24,""min"":12.6},""7"":{""avg"":19.8,""max"":25.9,""min"":14},""8"":{""avg"":19.6,""max"":25.8,""min"":14.1},""9"":{""avg"":15.2,""max"":21.1,""min"":10.4},""10"":{""avg"":11.2,""max"":16.3,""min"":7.1},""11"":{""avg"":5.9,""max"":9.8,""min"":2.5},""12"":{""avg"":3.7,""max"":7.4,""min"":0.5}}","[""Short trip"",""Weekend""]",Mid-range,4,3,5,1,3,3,3,3,4,,,,,,,,,64.59,10.0,2.4,60.0,4.0,875.5,2450.0
piran,Piran,Slovenia,Charming cobblestone streets lead you through a town where the sea breeze mingles with the aroma of fresh seafood and vibrant markets.,455.284.919,135.684.485,"{""1"":{""avg"":5.7,""max"":9.6,""min"":2.4},""2"":{""avg"":7.3,""max"":11.4,""min"":3.6},""3"":{""avg"":10.6,""max"":14.8,""min"":6.9},""4"":{""avg"":13.4,""max"":18,""min"":8.2},""5"":{""avg"":17.8,""max"":22.5,""min"":12.7},""6"":{""avg"":22.8,""max"":27.9,""min"":17.2},""7"":{""avg"":24.9,""max"":30.4,""min"":18.9},""8"":{""avg"":24.6,""max"":30.2,""min"":18.8},""9"":{""avg"":20.5,""max"":25.8,""min"":16.4},""10"":{""avg"":15.6,""max"":20.2,""min"":11.8},""11"":{""avg"":10.8,""max"":14.9,""min"":7.2},""12"":{""avg"":6.9,""max"":11.1,""min"":3.6}}","[""Weekend"",""Short trip""]",Mid-range,4,3,4,4,3,4,3,3,4,,,,,,,,,,,,,,,
valletta,Valletta,Malta,Sun-drenched streets lined with baroque architecture and vibrant markets create a charming blend of history and lively Mediterranean spirit.,358.989.979,145.136.607,"{""1"":{""avg"":13,""max"":16.3,""min"":10.2},""2"":{""avg"":13.1,""max"":16.6,""min"":10},""3"":{""avg"":14.3,""max"":17.7,""min"":11.2},""4"":{""avg"":16.4,""max"":19.9,""min"":13},""5"":{""avg"":20,""max"":24.3,""min"":16.2},""6"":{""avg"":24.7,""max"":29.8,""min"":20.7},""7"":{""avg"":27.7,""max"":32.9,""min"":23.4},""8"":{""avg"":27.8,""max"":32.4,""min"":24},""9"":{""avg"":25.3,""max"":29.1,""min"":22.3},""10"":{""avg"":21.8,""max"":25.4,""min"":18.6},""11"":{""avg"":18.1,""max"":21.4,""min"":15.2},""12"":{""avg"":14.7,""max"":17.7,""min"":12.2}}","[""Short trip"",""Weekend""]",Mid-range,5,2,3,3,3,4,3,3,2,City,1.5 million,"Pastizzi, Rabbit Stew, Imqaret",Spring (April-May) or Fall (Sep-Oct),Medium-high,Generally safe,"The capital city, known for its fortified walls, baroque architecture, and historical sites.",,,,,,,,
thessaloniki,Thessaloniki,Greece,"Lively waterfronts, aromatic tavernas, and ancient ruins blend seamlessly with a youthful energy that invites exploration and leisurely enjoyment.",406.403.167,229.352.716,"{""1"":{""avg"":6.4,""max"":11.1,""min"":3.1},""2"":{""avg"":8.6,""max"":13.1,""min"":3.9},""3"":{""avg"":11.1,""max"":15.9,""min"":6.1},""4"":{""avg"":14.9,""max"":19.6,""min"":8.7},""5"":{""avg"":19.9,""max"":24.9,""min"":13.5},""6"":{""avg"":25,""max"":30.4,""min"":19.1},""7"":{""avg"":27.8,""max"":33.2,""min"":21.8},""8"":{""avg"":27.3,""max"":32.9,""min"":21.4},""9"":{""avg"":22.9,""max"":28.3,""min"":17.5},""10"":{""avg"":17.3,""max"":23,""min"":12.7},""11"":{""avg"":12.8,""max"":17.2,""min"":9.2},""12"":{""avg"":8.4,""max"":12.6,""min"":5.4}}","[""Short trip"",""One week"",""Weekend""]",Mid-range,4,3,3,3,4,5,3,4,2,,,,,,,,,56.37,12.0,1.0,30.0,3.5,368.87,675.28
valencia,Valencia,Spain,"Sun-drenched streets lined with orange trees, vibrant markets, and a seamless blend of ancient history and modern art create a captivating atmosphere.",394.697.065,-0.3763353,"{""1"":{""avg"":11.5,""max"":17.5,""min"":7.7},""2"":{""avg"":12.5,""max"":18,""min"":8.6},""3"":{""avg"":14.2,""max"":19.4,""min"":10.4},""4"":{""avg"":15.9,""max"":20.9,""min"":12.1},""5"":{""avg"":19.8,""max"":24.3,""min"":15.6},""6"":{""avg"":23.6,""max"":27.8,""min"":19.7},""7"":{""avg"":26.7,""max"":30.4,""min"":23},""8"":{""avg"":26.9,""max"":30.8,""min"":23.3},""9"":{""avg"":23.6,""max"":28.2,""min"":20.1},""10"":{""avg"":20,""max"":25.1,""min"":16.5},""11"":{""avg"":15.3,""max"":21,""min"":11.8},""12"":{""avg"":12.7,""max"":18.6,""min"":9.2}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,4,3,4,4,4,5,3,4,3,City,2.5 million,"Paella, Horchata, Churros",Spring (April-May) or Fall (Sept-Oct),Medium,"Generally safe, but be aware of pickpockets","A coastal city known for its City of Arts and Sciences complex, beautiful beaches, and delicious cuisine.","The birthplace of paella, with a mix of futuristic and historic architecture.",51.28,9.5,1.5,42.0,4.0,722.93,1427.71
budapest,Budapest,Hungary,"Charming streets lined with historic architecture and lively ruin bars create a welcoming vibe, where tradition meets a vibrant, modern energy.",4.748.138.955,1.914.609.412.691.240,"{""1"":{""avg"":1,""max"":4.1,""min"":-2.1},""2"":{""avg"":4,""max"":8,""min"":0.3},""3"":{""avg"":7.3,""max"":13.1,""min"":2.8},""4"":{""avg"":12.2,""max"":17.8,""min"":6.4},""5"":{""avg"":16.7,""max"":22.1,""min"":11.5},""6"":{""avg"":21.9,""max"":27.4,""min"":16},""7"":{""avg"":23.6,""max"":29.4,""min"":17.5},""8"":{""avg"":23.3,""max"":29.3,""min"":17.6},""9"":{""avg"":18,""max"":23.6,""min"":12.7},""10"":{""avg"":12,""max"":17.1,""min"":7.4},""11"":{""avg"":6.3,""max"":9.9,""min"":3.1},""12"":{""avg"":2.3,""max"":5,""min"":-0.3}}","[""Short trip"",""One week"",""Weekend""]",Mid-range,5,3,3,1,5,4,5,4,2,,,,,,,,,,,,,,,
monaco,Monaco,Monaco,"Glamorous streets lined with luxury cars and yachts, where the Mediterranean breeze mingles with the scent of high-end cuisine and opulence.",437.323.492,74.276.832,"{""1"":{""avg"":8.2,""max"":12.3,""min"":5.1},""2"":{""avg"":9.2,""max"":13.4,""min"":5.5},""3"":{""avg"":12.2,""max"":15.9,""min"":8.7},""4"":{""avg"":13.4,""max"":17.5,""min"":9.2},""5"":{""avg"":16.9,""max"":20.9,""min"":12.7},""6"":{""avg"":21.9,""max"":25.7,""min"":17.8},""7"":{""avg"":25,""max"":29.1,""min"":20.6},""8"":{""avg"":24.7,""max"":29.2,""min"":20.4},""9"":{""avg"":20.9,""max"":25.2,""min"":17},""10"":{""avg"":16.8,""max"":20.7,""min"":13.6},""11"":{""avg"":12.1,""max"":15.7,""min"":9.2},""12"":{""avg"":9,""max"":12.9,""min"":6}}","[""Weekend"",""Day trip""]",Luxury,4,2,3,3,5,4,3,5,2,,,,,,,,,,,,,,,
rome,Rome,Italy,"Ancient ruins stand proudly amidst bustling piazzas, where the aroma of fresh pasta and the echoes of street musicians fill the air.",418.933.203,124.829.321,"{""1"":{""avg"":8.2,""max"":13,""min"":3.8},""2"":{""avg"":9.5,""max"":15.2,""min"":4.6},""3"":{""avg"":11.2,""max"":16.6,""min"":6.4},""4"":{""avg"":14.3,""max"":19.8,""min"":8.9},""5"":{""avg"":18.3,""max"":24,""min"":13},""6"":{""avg"":23.4,""max"":29.6,""min"":17.7},""7"":{""avg"":26.8,""max"":32.9,""min"":20.8},""8"":{""avg"":26.3,""max"":32.7,""min"":20.9},""9"":{""avg"":21.8,""max"":27.7,""min"":16.8},""10"":{""avg"":17.6,""max"":23.3,""min"":13.1},""11"":{""avg"":13,""max"":17.9,""min"":9},""12"":{""avg"":9.2,""max"":14.1,""min"":5}}","[""Short trip"",""One week""]",Mid-range,5,3,3,2,4,5,3,5,2,City,14 million,"Pizza, Pasta, Gelato",Spring (April-May) or Fall (Sept-Oct),Medium-high,"Generally safe, but watch out for pickpockets","The capital city, known for its historical landmarks like the Colosseum, Vatican City, and Pantheon.","A hub of ancient history and modern culture, with rich traditions, art, and landmarks.",69.73,15.0,1.5,35.0,4.25,943.68,1488.44
stockholm,Stockholm,Sweden,"Charming waterfronts, crisp Nordic air, and a seamless blend of old-world charm and modern design create a unique and inviting atmosphere.",593.251.172,180.710.935,"{""1"":{""avg"":-0.7,""max"":1.5,""min"":-3.1},""2"":{""avg"":-0.2,""max"":2.3,""min"":-2.9},""3"":{""avg"":3.3,""max"":6,""min"":-0.3},""4"":{""avg"":5.6,""max"":10,""min"":1.3},""5"":{""avg"":11.5,""max"":16.4,""min"":6.2},""6"":{""avg"":16.9,""max"":21.5,""min"":11.8},""7"":{""avg"":17.6,""max"":22.4,""min"":13.4},""8"":{""avg"":17.3,""max"":21.6,""min"":13},""9"":{""avg"":13.2,""max"":17,""min"":9.4},""10"":{""avg"":7.9,""max"":10.8,""min"":4.8},""11"":{""avg"":3.8,""max"":5.7,""min"":1.4},""12"":{""avg"":0.8,""max"":2.8,""min"":-1.5}}","[""Weekend"",""One week"",""Short trip""]",Luxury,4,3,4,2,4,4,3,5,3,City,2.5 million,"Kttbullar, Fika, Jansson's Temptation",Spring (May-June) or Fall (Sept-Oct),Medium-high,Generally safe,"Capital city known for archipelago, museums, and vibrant culture.","The capital city, known for its archipelago, museums, and vibrant culture.",,,,,,,
palermo,Palermo,Italy,"Sun-drenched streets filled with the aroma of street food, lively markets, and stunning architecture create an enchanting and vibrant atmosphere.",381.112.268,133.524.434,"{""1"":{""avg"":12.7,""max"":15,""min"":9.9},""2"":{""avg"":12.8,""max"":15.4,""min"":9.5},""3"":{""avg"":14.3,""max"":16.7,""min"":11.8},""4"":{""avg"":15.7,""max"":18.4,""min"":12.8},""5"":{""avg"":19.1,""max"":22.2,""min"":16.2},""6"":{""avg"":23.6,""max"":26.8,""min"":20.7},""7"":{""avg"":26.9,""max"":29.9,""min"":23.8},""8"":{""avg"":27.3,""max"":30.1,""min"":24.2},""9"":{""avg"":24.9,""max"":27.4,""min"":22.1},""10"":{""avg"":21.2,""max"":24,""min"":18.1},""11"":{""avg"":17.8,""max"":20.3,""min"":15},""12"":{""avg"":14.6,""max"":16.8,""min"":12}}","[""Short trip"",""One week"",""Weekend""]",Mid-range,4,2,3,3,3,5,3,4,2,,,,,,,,,52.34,7.0,1.4,32.0,10.0,462.5,1149.33
sicily,Sicily,Italy,"Sun-drenched landscapes, aromatic citrus groves, and vibrant markets create a sensory feast, while ancient ruins whisper stories of a rich, layered history.",37.587.794,14.155.048,"{""1"":{""avg"":6.1,""max"":8.3,""min"":3.2},""2"":{""avg"":7,""max"":10.3,""min"":4},""3"":{""avg"":7.6,""max"":10.4,""min"":4.6},""4"":{""avg"":11.2,""max"":14.4,""min"":7.1},""5"":{""avg"":15.8,""max"":19.8,""min"":11.2},""6"":{""avg"":22,""max"":26.8,""min"":18.1},""7"":{""avg"":25.6,""max"":30.6,""min"":20.2},""8"":{""avg"":23.8,""max"":28.5,""min"":20},""9"":{""avg"":19.9,""max"":24,""min"":16.4},""10"":{""avg"":15.6,""max"":19.3,""min"":12.7},""11"":{""avg"":11,""max"":13.7,""min"":8.5},""12"":{""avg"":7.8,""max"":10,""min"":5.5}}","[""Short trip"",""One week"",""Long trip""]",Mid-range,5,3,4,4,3,5,3,3,3,,,,,,,,,,,,,,,
kaunas,Kaunas,Lithuania,"Charming cobblestone streets, vibrant street art, and a laid-back vibe invite you to explore its rich history and creative energy.",548.982.139,239.044.817,"{""1"":{""avg"":-1.7,""max"":1,""min"":-3.2},""2"":{""avg"":-0.5,""max"":2.6,""min"":-2.7},""3"":{""avg"":2.5,""max"":7.1,""min"":-0.5},""4"":{""avg"":7.6,""max"":12.7,""min"":2.6},""5"":{""avg"":13.2,""max"":17.8,""min"":6.6},""6"":{""avg"":17.8,""max"":24.2,""min"":12.7},""7"":{""avg"":18.5,""max"":23.9,""min"":13.6},""8"":{""avg"":18.7,""max"":24.4,""min"":13.6},""9"":{""avg"":14,""max"":19.5,""min"":9.4},""10"":{""avg"":8.2,""max"":12.7,""min"":5.6},""11"":{""avg"":3.6,""max"":5.5,""min"":1.6},""12"":{""avg"":0.4,""max"":1.5,""min"":-2}}","[""Short trip"",""Weekend""]",Budget,4,2,3,1,3,3,3,3,3,,,,,,,,,42.92,6.0,1.0,28.0,0.9,365.6,809.12
podgorica,Podgorica,Montenegro,"A blend of modern and traditional vibes, where lively streets meet serene parks, offering a warm and welcoming atmosphere.",424.415.238,192.621.081,"{""1"":{""avg"":6.5,""max"":10.9,""min"":3.1},""2"":{""avg"":9,""max"":13.8,""min"":4.4},""3"":{""avg"":12.1,""max"":17.5,""min"":6.8},""4"":{""avg"":15.8,""max"":20.1,""min"":9.4},""5"":{""avg"":20.3,""max"":24.9,""min"":14.2},""6"":{""avg"":25.8,""max"":31.2,""min"":19.4},""7"":{""avg"":29.4,""max"":35.2,""min"":22.6},""8"":{""avg"":28.8,""max"":34.5,""min"":22},""9"":{""avg"":23.2,""max"":29.3,""min"":17.8},""10"":{""avg"":17.3,""max"":22.8,""min"":12.6},""11"":{""avg"":12.3,""max"":16.9,""min"":8.5},""12"":{""avg"":8.2,""max"":12.1,""min"":5}}","[""Short trip"",""Weekend""]",Budget,3,3,4,2,3,3,3,3,3,,,,,,,,,39.43,6.0,0.9,25.0,1.0,317.08,493.9
chisinau,Chisinau,Moldova,"Tree-lined streets and Soviet-era architecture mix with lively markets and cozy wine bars, offering a unique and welcoming vibe.",470.245.117,288.322.923,"{""1"":{""avg"":-0.3,""max"":3.6,""min"":-3.2},""2"":{""avg"":1.8,""max"":6.9,""min"":-1.9},""3"":{""avg"":5.9,""max"":11.6,""min"":2.8},""4"":{""avg"":11.4,""max"":17,""min"":5.1},""5"":{""avg"":16.6,""max"":22.2,""min"":10},""6"":{""avg"":22,""max"":27.6,""min"":16.2},""7"":{""avg"":23.7,""max"":29.6,""min"":17.1},""8"":{""avg"":23.8,""max"":30,""min"":16.9},""9"":{""avg"":18.5,""max"":24.5,""min"":12.6},""10"":{""avg"":11.6,""max"":17.3,""min"":6.9},""11"":{""avg"":5.5,""max"":9.3,""min"":2},""12"":{""avg"":1.9,""max"":4.5,""min"":-1}}","[""Short trip"",""Weekend""]",Budget,3,2,3,1,3,3,2,3,3,,,,,,,,,,,,,,,
oslo,Oslo,Norway,"Modern architecture meets stunning natural landscapes, with serene fjords and vibrant city life offering a unique blend of tranquility and excitement.",599.133.301,107.389.701,"{""1"":{""avg"":-2,""max"":0.6,""min"":-4.4},""2"":{""avg"":-0.8,""max"":2.2,""min"":-3.4},""3"":{""avg"":1.9,""max"":6.1,""min"":-1.3},""4"":{""avg"":6.4,""max"":11.6,""min"":1.8},""5"":{""avg"":12,""max"":17.4,""min"":7},""6"":{""avg"":16.6,""max"":22,""min"":11.8},""7"":{""avg"":17.6,""max"":22.9,""min"":13.2},""8"":{""avg"":16.4,""max"":21.3,""min"":12.4},""9"":{""avg"":12.9,""max"":17.1,""min"":9.6},""10"":{""avg"":7.2,""max"":10.4,""min"":4.3},""11"":{""avg"":2.5,""max"":4.9,""min"":0.3},""12"":{""avg"":-0.7,""max"":1.5,""min"":-2.9}}","[""Weekend"",""One week"",""Short trip""]",Luxury,4,3,4,2,3,4,4,4,3,City,2.5 million,"Fish, Reindeer, Brunost",Spring (May-June) or Fall (Sept-Oct),High,Generally safe,"Capital city known for museums, parks, and cultural scene.","The capital city, known for its museums, parks, and vibrant cultural scene.",,,,,,,
kotor,Kotor,Montenegro,"Winding cobblestone streets and ancient stone walls create a charming, timeless atmosphere, inviting you to explore hidden corners and scenic views.",424.249.205,187.713.332,"{""1"":{""avg"":7.6,""max"":12.6,""min"":2.6},""2"":{""avg"":8.8,""max"":14.2,""min"":3.6},""3"":{""avg"":11.2,""max"":16.5,""min"":6},""4"":{""avg"":13.7,""max"":19,""min"":7.6},""5"":{""avg"":17.5,""max"":22.4,""min"":11.6},""6"":{""avg"":23.1,""max"":28.5,""min"":16.3},""7"":{""avg"":25.7,""max"":31.5,""min"":18.2},""8"":{""avg"":25.5,""max"":31.2,""min"":19.3},""9"":{""avg"":21.6,""max"":27.2,""min"":15.6},""10"":{""avg"":16.5,""max"":22.6,""min"":11.1},""11"":{""avg"":12.8,""max"":18.2,""min"":7.9},""12"":{""avg"":9.7,""max"":14.5,""min"":5.3}}","[""Short trip"",""Weekend""]",Mid-range,4,3,4,3,2,3,3,2,4,,,,,,,,,,,,,,,
krakow,Krakow,Poland,"Charming cobblestone streets and lively squares invite exploration, while the rich history and vibrant culture create an inviting and warm atmosphere.",500.619.474,199.368.564,"{""1"":{""avg"":-0.4,""max"":2.9,""min"":-3.5},""2"":{""avg"":1.6,""max"":5.8,""min"":-2},""3"":{""avg"":4.3,""max"":10.2,""min"":-0.9},""4"":{""avg"":9.1,""max"":15,""min"":3.5},""5"":{""avg"":13.9,""max"":19.7,""min"":8.2},""6"":{""avg"":19.1,""max"":25,""min"":13.3},""7"":{""avg"":20,""max"":26,""min"":14.3},""8"":{""avg"":20,""max"":26.2,""min"":14.5},""9"":{""avg"":15.1,""max"":20.7,""min"":10.3},""10"":{""avg"":9.8,""max"":15.3,""min"":5.3},""11"":{""avg"":4.6,""max"":8.3,""min"":1.3},""12"":{""avg"":1.5,""max"":4.5,""min"":-1.5}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,5,2,3,1,4,4,3,4,2,,,,,,,,,,,,,,,
maastricht,Maastricht,Netherlands,"Cobblestone streets and medieval architecture create a charming atmosphere, while lively squares and riverside paths invite leisurely exploration and relaxation.",5.085.798.545,56.969.881.818.221.000,"{""1"":{""avg"":3.7,""max"":6,""min"":1},""2"":{""avg"":5.1,""max"":8.4,""min"":1.7},""3"":{""avg"":7,""max"":11.4,""min"":3},""4"":{""avg"":9.9,""max"":15,""min"":4.5},""5"":{""avg"":14.1,""max"":19.5,""min"":8.6},""6"":{""avg"":18.2,""max"":23.4,""min"":12.8},""7"":{""avg"":19.2,""max"":24.5,""min"":13.8},""8"":{""avg"":19.2,""max"":24.5,""min"":14},""9"":{""avg"":15.8,""max"":21,""min"":10.9},""10"":{""avg"":12,""max"":15.8,""min"":8.4},""11"":{""avg"":7.4,""max"":10.4,""min"":4.4},""12"":{""avg"":5.6,""max"":7.9,""min"":3}}","[""Weekend"",""Short trip""]",Mid-range,4,2,3,1,3,4,3,3,3,,,,,,,,,70.9,15.0,3.4,100.0,7.5,952.82,2225.0
gotland,Gotland,Sweden,"Charming cobblestone streets, medieval ruins, and serene coastal landscapes offer a peaceful escape with a touch of historical intrigue and natural beauty.",574.174.802,18.536.957.927.499.800,"{""1"":{""avg"":1.4,""max"":3,""min"":-0.5},""2"":{""avg"":1.3,""max"":3.2,""min"":-0.8},""3"":{""avg"":2.2,""max"":5.6,""min"":-1.1},""4"":{""avg"":5.3,""max"":9.1,""min"":1.6},""5"":{""avg"":10.4,""max"":14.7,""min"":5.4},""6"":{""avg"":15.5,""max"":19.8,""min"":10.9},""7"":{""avg"":17.4,""max"":20.9,""min"":13.4},""8"":{""avg"":17.3,""max"":20.9,""min"":13.5},""9"":{""avg"":14,""max"":17.1,""min"":10.7},""10"":{""avg"":9.3,""max"":11.5,""min"":6.8},""11"":{""avg"":5.9,""max"":7.3,""min"":4},""12"":{""avg"":3.2,""max"":4.6,""min"":1.4}}","[""Weekend"",""One week"",""Short trip""]",Mid-range,4,3,4,4,3,3,3,2,4,,,,,,,,,,,,,,,
st ives,St Ives,United Kingdom,"Charming cobblestone streets wind through art galleries and quaint shops, with the salty sea breeze adding a refreshing touch to your stroll.",502.149.064,-54.795.083,"{""1"":{""avg"":7.4,""max"":9.4,""min"":5.2},""2"":{""avg"":7.6,""max"":9.6,""min"":5.4},""3"":{""avg"":8,""max"":10.5,""min"":5.7},""4"":{""avg"":9.6,""max"":12.7,""min"":6.8},""5"":{""avg"":11.9,""max"":15.2,""min"":9.2},""6"":{""avg"":14.6,""max"":17.7,""min"":11.9},""7"":{""avg"":16.2,""max"":19.3,""min"":13.6},""8"":{""avg"":16.3,""max"":19.2,""min"":13.8},""9"":{""avg"":14.9,""max"":17.6,""min"":12.5},""10"":{""avg"":12.6,""max"":14.9,""min"":10.4},""11"":{""avg"":10.1,""max"":11.9,""min"":8},""12"":{""avg"":9,""max"":10.8,""min"":7}}","[""Short trip"",""Weekend""]",Mid-range,4,3,4,5,3,3,3,2,4,,,,,,,,,,,,,,,
